timestamp,frame_number,fps,inference_ms,detection_count,average_confidence,brightness
2026-07-24T20:18:34,5836,16.125,22.076,1,0.5236,73.313
2026-07-24T20:18:34,5837,14.156,22.913,1,0.4519,73.442
2026-07-24T20:18:34,5838,15.385,23.314,1,0.4693,73.641
2026-07-24T20:18:34,5839,14.805,23.501,1,0.4661,73.821
2026-07-24T20:18:34,5840,15.0,25.095,1,0.5201,74.016
2026-07-24T20:18:34,5841,13.506,24.159,0,0.0,74.206
2026-07-24T20:18:35,5842,15.883,24.13,1,0.4684,74.354
2026-07-24T20:18:35,5843,14.724,22.716,1,0.4415,74.463
2026-07-24T20:18:35,5844,16.335,22.323,1,0.3947,74.53
2026-07-24T20:18:35,5845,14.419,22.971,1,0.3615,74.533
2026-07-24T20:18:35,5846,14.38,23.75,1,0.3674,74.563
2026-07-24T20:18:35,5847,15.766,23.168,1,0.4101,74.587
2026-07-24T20:18:35,5848,15.403,22.615,0,0.0,74.593
2026-07-24T20:18:35,5849,13.658,23.536,1,0.3566,74.61
2026-07-24T20:18:35,5850,15.667,23.174,1,0.3684,74.625
2026-07-24T20:18:35,5851,15.399,22.095,0,0.0,74.695
2026-07-24T20:18:35,5852,14.039,23.809,1,0.413,74.822
2026-07-24T20:18:35,5853,15.666,22.381,1,0.3941,75.037
2026-07-24T20:18:35,5854,14.733,22.919,1,0.4886,75.113
2026-07-24T20:18:35,5855,14.493,23.368,1,0.5236,75.214
2026-07-24T20:18:35,5856,16.089,22.772,1,0.6392,75.294
2026-07-24T20:18:36,5857,14.098,23.076,1,0.4461,75.291
2026-07-24T20:18:36,5858,15.061,22.827,2,0.5321,75.267
2026-07-24T20:18:36,5859,14.617,23.773,2,0.3941,75.2
2026-07-24T20:18:36,5860,15.518,22.717,2,0.4407,75.118
2026-07-24T20:18:36,5861,14.396,23.181,1,0.4541,75.102
2026-07-24T20:18:36,5862,15.493,22.562,2,0.4366,75.142
2026-07-24T20:18:36,5863,15.877,24.209,1,0.4719,75.168
2026-07-24T20:18:36,5864,12.294,25.861,1,0.4446,75.198
2026-07-24T20:18:36,5865,17.653,22.906,3,0.4383,75.309
2026-07-24T20:18:36,5866,14.726,22.958,2,0.5197,75.312
2026-07-24T20:18:36,5867,14.707,22.64,2,0.529,75.355
2026-07-24T20:18:36,5868,15.108,23.205,2,0.449,75.306
2026-07-24T20:18:36,5869,14.636,23.999,1,0.4523,75.218
2026-07-24T20:18:36,5870,13.781,24.094,2,0.4714,75.166
2026-07-24T20:18:36,5871,17.682,22.562,1,0.5222,75.048
2026-07-24T20:18:37,5872,14.499,22.55,1,0.6036,74.947
